Name, Repository, Date, Message, Hash
david-marginian,android-common,2017-12-13T16:53:00Z,remote-pay - Add constants in support of SEMI-1698,27e3bd888126abbb20475c116f62fa36fbe85440
david-marginian,clover-device-server,2018-02-01T14:02:14Z,clover-device-server - handle exceptions from websocket impl,20a171bc82689fb6c09dc410d8aabc7ec91daf80
david-marginian,remote-pay,2017-11-20T17:10:47Z,remote-pay - SEMI-1615 and SEMI-1617,aa5ac6c11b2f46820eccc891419dffc4cec52642
david-marginian,server,2018-02-07T13:11:47Z,supportserver - Send backwards compatible message in addition to new …,b0271b35b7c7967f5c8d417ad17f581fca8e0da0
darrell-cabral,jenkins-dsl-libs,2020-02-21T19:41:17Z,Merge pull request #7 from clover/gsha_lib,76a1027c251417f76498e93b3f0e365d30feb070
darrell-cabral,helpcenter,2019-12-05T03:38:04Z,Only deploy for master branch (#12),d1d7390437f54a9ab77a78027192f0d48314eb08
darrell-cabral,mobile-companion-ios,2020-02-14T17:27:40Z,Add Jenkins pipeline template Jenkinsfile (#74),1815469c0b11517326fd38697534dc0fe00d58b9
josh,jenkins-dsl-jobs,2020-05-14T16:27:14Z,Add capability-api (#86),fe32ea45930b6db3f134621b4e7fe9a0effa43fa
josh,entity-state-api,2020-03-26T15:49:55Z,first commit,17761e03ff315cffb31d80af357778e2d4d2e744
josh,capability-api,2020-05-13T23:07:39Z,first commit,51bdcd41dfa5db1e1668250d439d857d577c7718
josh,server-load-testing,2013-07-31T16:45:22Z,Added RequestLimitService to limit requests,58fb12f9a8c6f80e78481476a98b827acba38554
josh,server,2013-07-31T16:45:22Z,Added RequestLimitService to limit requests,58fb12f9a8c6f80e78481476a98b827acba38554
jason-puglisi,sensify,2019-10-29T18:31:58Z,Initial commit,1fd9676529fd4e46432afa4bf821d63e88049855
jason-puglisi,clover-token-search,2019-10-29T19:27:49Z,Initial commit,1cc24c814c4056ce7dc09342198557978eb57c6e
jason-puglisi,cert-lister,2020-03-05T02:29:19Z,Initial commit,9700c162967ace2e374eebf984c7b251ac3428a1
jason-puglisi,qradar-alerts,2020-03-31T23:15:35Z,Initial commit,40c40d3d4e6cec3cc623d08ded56f1ca59955f2c
matt-willson,checkstyle,2020-09-24T21:40:08Z,initial,06f19bfc1c038c05625ca05847232c148e746929
matt-willson,android-common,2018-03-26T19:01:10Z,Bilingual Components,e7f0a70d190cf8a00debba3db1826a710643b646
matt-willson,schema-tool,2017-12-07T17:48:32Z,Update Remote Pay Cloud API docs with standardized comments,c01166eeb7d7a35f6cfc2f670338e8a0893f25e9
matt-willson,eslint-config-isv,2020-10-05T18:42:50Z,Initial,d91d9983274f4787c5d588b71eb960c07b076d6a
matt-willson,cci-slackbot,2020-10-05T21:24:36Z,Initial,6608055945d784cf0a0319abfde2c4473d522b8c
matt-willson,payments,2018-03-28T16:27:06Z,Payments Fix downloading apps problem,37c559c31e8fe4927c1ac931b800b6cf0a916389
matt-willson,android-help,2020-09-03T16:00:27Z,[android-help] Configurable Support Message,80b7e21f9039e8cfb48f8fed58897438b4625ad3
matt-willson,remote-pay,2018-03-26T20:42:11Z,Use android-common/common-view bilingual components in layout.xmls,f4d568711a5ec3cd639ae664a0eb1fd93094ced1
matt-willson,server,2018-01-08T14:16:56Z,BILL-280 Allow developers to update their billing info,eac7a23693e5a17dab65e469588d1cc5752d52d2
chris-casebolt,billing-flight-checks,2020-01-30T21:11:51Z,Added flight check for wireless manager ancillary behavior collision.…,2a7ae1318214a96cfdfb00d8766f63f3b39374ce
chris-casebolt,billing-server,2019-09-30T23:33:51Z,billing-server BILL-1475,9d616799c2c9339a330b4fbf030a7b9a4b680580
chris-casebolt,web-legacy,2019-09-30T14:53:24Z,Plan selection updates BILL-1801,2d1f22df92b656977893dfdaf260bf90b331f62c
chris-casebolt,web-portal,2020-01-15T20:49:06Z,"(web-react) Move charge status switching (for refunds, cancels) to bi…",35da5a55e41def2ebb95ec2726ebff9e41db0451
chris-casebolt,server-load-testing,2019-09-18T18:24:10Z,server BILL-1801,3cf9b9322f14069de1918080409d9ef604a884ab
chris-casebolt,clover-android-sdk,2020-01-17T14:23:16Z,Updated Reseller to have new fields for 2020 pricing models.,fe68f218cf0602622171f0f42248cd182e6283fc
chris-casebolt,schema-tool,2020-03-03T20:45:31Z,Add new refund ach reject charge statuses.,5063b01036a3c4deed4fe3c7521a0ff5b4529fbf
chris-casebolt,android-setup,2019-09-17T17:27:21Z,BILL-1736,8acf4032a2d2b6e5a0780b99f2612c6bbb4c8c4a
chris-casebolt,server,2019-09-18T18:24:10Z,server BILL-1801,3cf9b9322f14069de1918080409d9ef604a884ab
jake-campbell,wirelessmanager,2020-07-17T22:27:05Z,Init WirelessManager functional tests (#184),23888696d261ac498ea24f159431ec85ff41372e
jake-campbell,internal-billing-tools,2020-10-23T22:08:07Z,Custom billing icon (#41),1e4931e5e59455f715ef69a8aa23ed5ef54cd63c
jake-campbell,billing-flight-checks,2020-01-29T18:20:06Z,2020 Plan invalid cases + first java flight checks,e202024da200fecf1a01e9714564d98f50231ede
jake-campbell,billing,2017-12-20T05:00:09Z,Added the bell device and pi4j dependencies.,ba05e87ecad3242c6b5358c224ef69c830dce3fc
jake-campbell,billing-server,2019-09-17T16:26:19Z,Unit test for BILL-1832,748acd1c8e56c123e9973b96d33173770d607699
jake-campbell,web-legacy,2018-09-21T19:26:11Z,Web: STING-736 Part 1 - view/abort events,ca829cbd209fc0b638383e11ac2c3974e6fa1210
jake-campbell,functional-test-core,2020-05-07T15:14:26Z,Initial commit,9dfb399862a770e93897b0d4ac27fb0a3169af02
jake-campbell,server-load-testing,2018-06-07T18:39:46Z,STING-330 dead letter backoff retry - early first try,d3e04764e7316ade1964163841a0ddc2bc5e67e5
jake-campbell,schema-tool,2018-08-17T15:05:56Z,Schema-STING-732: add event subscription model,6e5012f51e0bed571777bfa51f715b4106a021d7
jake-campbell,server,2018-06-07T18:39:46Z,STING-330 dead letter backoff retry - early first try,d3e04764e7316ade1964163841a0ddc2bc5e67e5
ben,billing-server,2018-11-19T19:43:11Z,Billing - BILL-880 Merchant plan trial support,43ef64f495189e1d7aad903875561dd80325880b
ben,web-legacy,2017-05-03T16:58:30Z,ICE-700: include quantities of Station and Flex equipment in CSV,38717ea8197a4e47508a4411ed5470de65bb85bc
ben,web-portal,2019-03-19T01:01:28Z,React - BILL-1236,2beabc1ea11f0204c1b582ba74716dff78502897
ben,server-load-testing,2017-04-25T03:26:24Z,STING-19 - add Clover Flex to allowed tablet devices for auto-provisi…,7f83cb996c0541937aaaa08eacca2c17a666ce17
ben,android-common,2020-09-01T13:39:58Z,Common - BILL-3302 add required field,fc7c2f7f53150385062ca5886186e7a2583556e8
ben,clover-android-sdk,2019-01-02T16:14:32Z,SDK - BILL-1022 added plan trial support,8d3cc9282a79b73c53cded61562944f02c154bbd
ben,schema-tool,2017-05-01T16:12:11Z,"ICE-700, added counts for Station and Flex equipment in request",b0a2077c14ff4fd582bc0b2451db7854fcbcb532
ben,apps,2017-08-09T19:05:15Z,"BILL-169, changes to plan selection based on reseller plans",0d690a9f2c79718f209bb445a4c6b706df6807e3
ben,server,2017-04-25T03:26:24Z,STING-19 - add Clover Flex to allowed tablet devices for auto-provisi…,7f83cb996c0541937aaaa08eacca2c17a666ce17
robert-chur,remote-pay-windows,2020-08-27T18:52:48Z,Fix jenkins pipeline (#3),ed751d245e8789ace06e76085c3246856703cb58
robert-chur,isv-tools,2019-05-06T19:02:10Z,Improve jenkins console logging during robot checkout retry loop and …,a53b8923e5f5111530c0ff3a2dd8791efffabd44
robert-chur,pidgin-test,2020-03-10T22:10:25Z,Remove port from isvartifactory URL,e0be272e97533581eb16cc5db2a72c6d82b55dda
robert-chur,windtalker,2019-03-12T22:03:07Z,correctly index pairs array entries.,424f9d4c1e3dd81f92d8f0180a9171db5b2e8d08
robert-chur,gort,2019-04-15T15:47:05Z,Initial support for TILT controller,5c50c39a4c7e44aed92f76bf03ae5b9744ccb0fd
robert-chur,isv-pidgin-test,2019-03-21T14:45:42Z,Fix up auto merge changes.,915bf07e72be5d060af2e496661c8565f04ff3f4
robert-chur,isv-android-test,2019-05-22T16:52:01Z,Try to collect and archive JUnitTestResults-tmp.xml in post-always bl…,2ff3e048246132660ce5d45e25e8cf6d528704a7
robert-chur,isv-cloud-test,2019-03-19T19:22:43Z,Fix typo in comment.,85bef16875d5ff4233023b46eca9b1bd757ef45d
robert-chur,isv-ios-test,2020-06-30T15:50:56Z,Move to GHE repos.,60b11e23780c68393b2d77d4f0517a6383d0ddfa
robert-chur,isv-windows-test,2020-08-27T17:18:47Z,Add jenkins pipeline,e870a807ae537315340258ac9baaeb395dd26d8e
andy-barilla,dataprotection-api,2020-05-08T19:37:19Z,Initial commit,9d7908c4bfe92cd9bbb260851922146b3ec74a20
andy-barilla,server-load-testing,2019-03-07T19:12:32Z,Server: STING-1136: Metrics for event queue,f5ee863038c572290d40a75b8df312cc89055080
andy-barilla,clover-cci-partner-api,2020-08-20T21:06:58Z,fix: Change namespace for the serverkit client api to avoid conficts,ac4c6921b472fe8f1944dbd00509654ca037ed02
andy-barilla,boarding-tools,2019-03-08T19:00:54Z,STING-1088 BoardingRequestsApiTests are flakey in dev1 and dev17 (1),fc2ffcf876297265a3533a74856753ddaaa16d84
andy-barilla,schema-tool,2019-08-01T21:22:42Z,Schema: STING-1341: DPS: Create new service,ad8c4ce08d2848223e5512c31965e9a07061fa90
andy-barilla,merchantplan,2020-11-09T19:26:09Z,Initial commit,ee48d709f63b928c16ecc453df1eb90c52e5bdb6
andy-barilla,merchant-plan-api,2020-11-09T19:29:55Z,Initial commit,c8d1e68023adfb02f92b0ea682a9b7a5f3b90884
andy-barilla,server,2019-03-07T19:12:32Z,Server: STING-1136: Metrics for event queue,f5ee863038c572290d40a75b8df312cc89055080
mark-kimball,billing-flight-checks,2020-01-09T16:20:09Z,Added euTOSBillingModel flight check,21105cbcafd370ef7c4288323f5b844fecf7627e
mark-kimball,billing,2020-09-02T16:52:55Z,FEAT: BILL-3282 create tool to backfill statement month for existing …,e4d0733d43d2e030226fa5bbe65e5b505b86a580
mark-kimball,billing-server,2019-10-17T17:16:21Z,BILL-1549 Added logic to billing health check that only tests the rea…,885065e526cd0852922f385bc10476ae31e96692
mark-kimball,clover-android-sdk,2020-12-07T15:15:32Z,FEAT: BILL-3789 add WAIVED status as new Infolease charge attempt status,801c0aea2aa082eddc0cf15bbea707b87b5e63d6
mark-kimball,schema-tool,2020-12-07T21:59:40Z,FEAT: BILL-3789 add WAIVED as new Infolease charge attempt status,61671f1a938a4699edce9aaa7e759a8de9d3fb5b
mark-kimball,server,2020-07-16T16:19:26Z,FEAT: BILL-3085 new audit events for wholesale fees,18ba44b0a8332a2f07191d13db6c74776da53534
michael-amoako,uia-remote,2020-01-03T17:01:43Z,Package name fix so example tests properly execute. (#10),391b861044222ef336fb2fd1fbe17a42525f61d3
michael-amoako,isv-tools,2020-04-03T18:24:59Z,Updating the clover loyalty custom activity apk to reflect the latest…,aa2f201728753524ad13259792274f863e5ef70b
michael-amoako,gort,2019-05-03T15:53:35Z,Added the use_reloader=False parameter to the Flask run method. This …,6cc1f5ef141bb2f2bf6d633cecfcb337184eb79c
michael-amoako,isv-pidgin-test,2019-05-06T21:16:16Z,The first three cases for semi-3529,68d1b4e94abb5e7fbf68305af4635f9ed90977bd
richard-whitney,terraform-google-spring_boot_apps,2020-08-17T16:01:08Z,Removing Spring Boot Example since service does not work (#76),de9afb2ab5d6de48eea896c21321adf664529eaf
joel-mcintyre,devrel-slackbot,2020-01-17T20:02:29Z,initial slackbot transfer,358cf7d78ff700f4e305af891031f11e645c36cc
joel-mcintyre,devrel-laas-service,2020-02-18T20:58:49Z,initial prototype push of laas apk python - terminal front for new li…,0849720ada373ebb3419401a78fa1fec2a4aca95
joel-mcintyre,devrel-test-server,2020-09-15T20:06:42Z,Initial push,75d59cbc6ed36ebf17c250b6d48f3a047de91f20
joel-mcintyre,devrel-dashboard,2020-07-07T21:28:50Z,"Update UserReport block colors, add tags formatting (#56)",c1fa5e7a83abfcfaca55bf4fa26ece8ebb28f151
joel-mcintyre,remote-pay-windows,2017-11-02T22:57:34Z,local testing branch: Trace incoming/outgoing device messages,21f444088452451891da6777e8b6d78fb30bec96
joel-mcintyre,devrel-report-generator,2020-05-04T16:57:22Z,Initial commit,77172b3ff2c4fd79614bd085af2f1ae35a632d20
joel-mcintyre,devrel-metrics-service,2020-06-17T02:15:27Z,Initial commit,cdcd71799c70c610e1bc2d40c2d4f9101362ca0f
joel-mcintyre,devrel-command-service,2020-06-17T02:48:38Z,Initial commit,b9284e06287392e486e6afaafd8eec51af4c8b50
joel-mcintyre,devrel-intercom-service,2020-06-19T14:51:59Z,Initial commit,5e7544d5fe1aa54d4144c0aae58dae1f3f9416d5
joel-mcintyre,devrel-database-jobs,2020-06-22T16:45:53Z,Initial commit,35a376944b9c18ca60d574f127c1c799a4615ea9
kiran-atyam,web-legacy,2020-04-10T18:08:52Z,Mechant Control matcher UI bugs,5f885c6fff0f1df76cf34e3681773051fc0203d7
kiran-atyam,server-load-testing,2019-10-02T16:00:59Z,BORT-172 VAT Valdations,1738ddd37bd923066e188dcd3b18a7b62508c2cf
kiran-atyam,server,2019-10-02T16:00:59Z,BORT-172 VAT Valdations,1738ddd37bd923066e188dcd3b18a7b62508c2cf
dex-cook,remote-pay-ios,2020-10-13T19:51:08Z,Update Clover logo in readme (DS-964),fcc9e03bff46724d46e576c3777719175a2357ba
dex-cook,remote-pay-cloud,2020-10-21T14:26:22Z,Update Clover logo (#8),4d40648ccdfa90cca1dd4365b2f3937c1f2a889b
dex-cook,server-load-testing,2019-01-08T15:05:39Z,"DS-206 Added missing summaries for employee card, service charge, and…",a912d3bf0907744bb591a26d25781d1615f32970
dex-cook,devrel-doc-tools,2020-07-13T16:57:53Z,Initial commit of devrel-doc-tools,764cb38635d69d775b9f7fac79e5cebb5cb9ec44
dex-cook,clover-android-sdk,2019-06-10T21:26:57Z,Added EXTRA_TIP_AMOUNT to ACTION_MERCHANT_TENDER doc; punctuation fixes,40c4a922f7983e73ab9d9160b659e5a7b3c84e78
dex-cook,schema-tool,2018-12-14T22:27:12Z,Updated docs for line item discounts and order discounts,2d0388076ef66419995401d4d2e5a0f619592ecb
dex-cook,server,2019-01-08T15:05:39Z,"DS-206 Added missing summaries for employee card, service charge, and…",a912d3bf0907744bb591a26d25781d1615f32970
mike-tomko,devrel-app-status-service,2020-03-17T18:27:05Z,Adding an automated deployment script,9c1de57ba51fd2540572e6f6d202e45debc9a9cc
mike-tomko,devrel-tools,2020-11-18T18:00:36Z,Updating the name for the dart slack channel,2cc5d885bac6bb8215f1e6566f0c6b45b275501e
mike-tomko,devrel-slackbot,2020-01-28T23:26:04Z,"It's not a horrifying dockerfile, that's just like, your opinion man",d061b4bdf2998ff719c32a4f929a0e00ef5f1bd0
mike-tomko,devrel-laas-service,2020-08-07T21:08:13Z,Tomcat (#2),076fc8bd160f63f4e47d977c01afc2152915ca6c
mike-tomko,devrel-dashboard,2020-01-27T19:02:55Z,perserving CODEOWNERS and gitignore,85e9b7ec473daebf0056b8e8b742bc7fa0ef19d1
mike-tomko,devrel-apps-list-job,2020-02-20T20:13:18Z,Initial commit of source code,02bc8aec0d605103d2c6c14ed518baa714f658ca
adrian-horner,uia-remote,2020-01-13T21:18:53Z,Implementation for click by resource Id and ISVT1465 to validate work…,28efed09e072f57214e293a4f984a089edd2bb7a
adrian-horner,pitt-crew-tests,2019-01-11T18:26:34Z,updated values in test definitions,5bd9b7e6f70d0b40a56d5d2ce0b8503894f9fca9
adrian-horner,gort,2020-09-03T14:48:10Z,Orders regex (#7),11cd05908e1ef75c9981a7210f26d1d1eab65e70
adrian-horner,isv-pidgin-test,2019-03-08T22:00:22Z,Adrian modify test case,4ed7e68705a905bb87e754f87fd1270425905d33
jo-pelkey,billing-flight-checks,2020-02-24T21:20:43Z,Merge pull request #20 from clover/developer_validation,c8734e53141126adf433c4ce420e056d673abad9
jo-pelkey,billing,2019-09-03T16:27:36Z,BILL-1786: add SyncSuppression job to request dropdown now that it will,a6baef8c4d97994922ea23e6ab453b28408c9adf
jo-pelkey,billing-server,2018-11-01T17:27:42Z,DevExport: initial developer export work,bc9a32a223b3d7e8f11c0aa4eae23f2ff1287bd7
jo-pelkey,web-legacy,2018-04-05T13:47:14Z,BILL-661,9179781e234efede152a532a3f8732588df4ba06
jo-pelkey,server-load-testing,2018-04-16T19:07:57Z,BILL-644,a95ce0ba622fcff81367eb30b2a6626a6e0807ff
jo-pelkey,schema-tool,2018-10-10T18:35:32Z,BILL-980: add 2 new values to the ChargeStatus enum,c2edb9c25164d6c1668c779139ebd225782cea5d
jo-pelkey,server,2018-04-16T19:07:57Z,BILL-644,a95ce0ba622fcff81367eb30b2a6626a6e0807ff
matt-rixman,jenkins-dsl-jobs,2020-05-11T17:58:03Z,adding billing-flight-checks repo to billing pipelines (#82),9b381e7964f897a61e362f4c1da87ff2e33927d7
matt-rixman,billing-flight-checks,2019-12-20T18:12:17Z,added a sample check,ec28e9753df1e6e408bd5730220a591c4894f2e3
matt-rixman,slicetool,2018-08-03T19:57:43Z,initial commit,01eff1e3dc84dda582b99d2aa5c6da5ca821f25e
matt-rixman,billing,2018-03-03T17:35:16Z,Some scripts (unfinished) for the phabricator link,8ad6986989d7214c3f3ab9faeff7894cd1da2ee2
matt-rixman,billing-server,2018-02-15T21:56:57Z,Package dependencies in lib/tools,1fcd103f76415a76334adddf1295270ccb4ecdaa
jared-rodgers,cloverdotcom,2020-08-19T22:10:01Z,Jenkinsfile (#1),38fd83979737f893ba2d56becb3e8ed08feb2a8c
jared-rodgers,clover-shop,2020-08-19T22:27:56Z,added Jenkins file (#1),46eab5e29de5a6be03509a9beb9aa89c55a60b5b
jared-rodgers,web-self-boarding,2020-08-19T22:33:01Z,added Jenkins file (#1),1787d255fc5e40c18f0d3fa77d2be69ea205fa64
jared-rodgers,config-driven-android-apps,2020-10-21T18:23:34Z,updated appname to use repo name,d362e9f9e5135f553a78036353b0863fb9522240
jared-rodgers,release-management,2020-12-04T20:01:18Z,Merge pull request #2 from clover/andy-brooks-patch-1,0ba974d05f85ed035a1e3e6d0e2a20e73c20d585
mike-brooking,isv-android-test,2020-03-16T16:44:27Z,Sync gradle version and tools with remote-pay-android,5f34297e39fc1f2e4d39f9d3e12ea5201b830e7f
mike-brooking,remote-pay-feature,2016-12-09T00:10:19Z,Handle exits during payment challenges,e42a45fac5ad1bb585685403d8188b92bcbd61ee
mike-brooking,server-load-testing,2018-03-20T21:50:29Z,WIP: Setting flag for Shared Ethernet,86ab02031f399db3f7d62dc57b31aaff62dc64af
mike-brooking,mbplaypen,2020-08-25T14:42:25Z,Initial commit,f22e8fa1acfd4bb1f384ee13913f1ab800deb1f2
mike-brooking,android-common,2017-05-13T23:01:01Z,android-common: Android SDK work for new retrieveDeviceStatusRequest …,2c93de26589d225f861c74af88804979cc47965c
mike-brooking,payments,2018-02-09T15:54:05Z,Review payments code for localization,d2307c67f7c28f48353e9b861dc87f3f2f79e1aa
mike-brooking,clover-device-server,2017-03-28T19:01:16Z,Update version of Java Websocket to pick up SSL fixes,a79f4c2bf7a3122d7719a4fd66a8bff99835f960
mike-brooking,remote-pay,2016-12-09T00:10:19Z,Handle exits during payment challenges,e42a45fac5ad1bb585685403d8188b92bcbd61ee
mike-brooking,server,2018-03-20T21:50:29Z,WIP: Setting flag for Shared Ethernet,86ab02031f399db3f7d62dc57b31aaff62dc64af
aaron-hicks,uia-remote,2020-01-21T19:25:16Z,Isvt 1443 (#40),48622c83c5178da8590e80480fd9a761d36e95d3
aaron-hicks,remote-pay-windows,2020-08-27T20:33:46Z,Test service fix (#4),a8c876adcb7d0a1e5680d98c244e3fc07ddde87b
aaron-hicks,isv-pidgin-test,2019-09-30T22:21:09Z,Updates a few credit tests.,939dc4fa2c03c2aff4eb129b29b2a2bef79af132
aaron-hicks,isv-windows-test,2020-08-18T17:44:36Z,First commit,66652c276f7518f3c51a51277798d64d22a14949
brian-smithey,server-load-testing,2018-05-10T22:25:26Z,STING-571,f269f1b94bd3b4b9bef01d2cfa7d2eb05c280c2e
brian-smithey,schema-tool,2018-06-07T17:35:19Z,schema: STING-639 new shipping XML fields,3ca8773ec12eaa3b2c5af5f5c86ff8cd5d8a2f92
brian-smithey,server,2018-05-10T22:25:26Z,STING-571,f269f1b94bd3b4b9bef01d2cfa7d2eb05c280c2e
anush-reddy,dataprotection,2020-02-19T21:17:53Z,Use GCP Application Default Credentials (#39),c4fcd6ee15e814c5da4e39c946a5120be23389fd
anush-reddy,jenkins-dsl-libs,2020-08-07T18:54:32Z,Merge pull request #17 from clover/ar_helm,af5cd28ee597e77cd3cc02bfe26c62362cee1597
anush-reddy,jenkins-dsl-jobs,2020-08-07T14:44:24Z,Kubernetes: Add forseti security repo (#143),cc8ab62335433cf30c8ae6a4cc1a082cc1295626
anush-reddy,qradar-alerts,2020-07-29T18:56:38Z,Merge pull request #1 from jason-puglisi/ar_gcs,4020c80d41bfe4dee764443ba07e9deba8e241a0
anush-reddy,helm-forseti-security-chart,2020-08-07T14:53:08Z,Rename JenkinsFile to Jenkinsfile,d21ef5ef010b7f40064e5108640f561d9abb6fa8
ajinkya-t,server-load-testing,2017-12-11T23:19:28Z,"changes to readme for setup instructions, new config for local kubern…",a8c9acc70e0fb8181b8491a26c64a7f6b70782b2
ajinkya-t,server,2017-12-11T23:19:28Z,"changes to readme for setup instructions, new config for local kubern…",a8c9acc70e0fb8181b8491a26c64a7f6b70782b2
krupesh-faldu,helm-filebeat-chart,2019-11-06T15:26:33Z,feat: initial filbeat kubernetes configuration,8540fc809b249b6351d9955d2d3c9f4aa8bc1c49
krupesh-faldu,jenkins-dsl-libs,2020-02-21T20:37:42Z,test: hello world for shared library,f9f8490f7bd8c0465779c28d3c3892cceaa16976
krupesh-faldu,jenkins-dsl-jobs,2020-01-07T22:55:20Z,feat: folder for kubernetes related jobs in Jenkins (#15),c06b8d31c6535fe97b44969efb8e70741850bb64
krupesh-faldu,customers-microservice,2019-05-28T18:33:40Z,fix: update all the dependencies and then fetch latest version of pos…,073cd763ac09076d05eea219794820194318f784
krupesh-faldu,clover-sonarqube,2020-07-21T15:41:13Z,feat: add Jenkinsfile to push chart,e4c24b9195f7601f2a42bcf65c46051ce5ed2187
krupesh-faldu,kpf-test-please-delete,2020-06-29T17:26:23Z,Initial commit,439c3a9b2892799f03763a4fa5e873c82f396030
krupesh-faldu,customer-engagement,2019-05-06T18:58:06Z,Cus 1029 blank phone number contact identity service (#3442),3df2e0adc28e7defa128a2a4bc96e0c468013dae
tate,uia-remote,2020-01-07T18:08:44Z,Build Task Update (#14),bba38626b54a20ffba185079e9cbd83d11efe590
tate,isv-tools,2018-12-14T21:39:20Z,added additional logging,03c3c49c23a17d154f656f53d242a333e502579f
tate,gort,2018-07-10T19:20:20Z,Updated touchDuration default to 1000,e0f118353e9ac52ee5e50027f3a7c7e6a565dffd
tate,isv-pidgin-test,2018-07-03T17:44:20Z,added 303,bd956b116d8bef59dcee02bec0f4dfb66bde4a82
tate,isv-cloud-test,2018-07-26T21:34:09Z,added cylon test config,e369a84e6dfa98bb89aa4f1e2f39d93ba95572fd
kristian-madsen,terraform-google-spring_boot_apps,2020-10-05T15:51:48Z,Initial revision for MLC Event service (#88),1ab5d3d626de2cef847e6b3bfc7be4f3d0d405e0
kristian-madsen,jenkins-dsl-jobs,2020-09-24T14:50:21Z,Added Event Messaging to Jenkins (#181),6ff1671588425ec6c8a342fbaa97a3882c353b26
kristian-madsen,web-legacy,2019-07-30T15:27:04Z,STING-1330: [Eventing] Event Marks filter can't be changed,3ac1f2a204116448cc95c250af50fa43499a0cf9
